date,campaign_id,campaign_name,platform,target_age,target_gender,daily_budget,spend,impressions,clicks,ctr,conversions,cvr,revenue,roas,creative_type,ad_position
2025-04-05,campaign_1,캠페인_1,Naver,18-24,남성,48984.75516075407,42672.15698874336,452852,4351,0.009610054094193727,349,0.08039991356502173,12006944.35830202,281.3765510252827,비디오,스토리
2025-04-06,campaign_1,캠페인_1,Naver,18-24,남성,91995.96111431671,65277.13085524617,1056934,27638,0.026149257940484495,2543,0.09201659668915729,39730380.91932469,608.6416544168876,이미지,검색
2025-04-07,campaign_1,캠페인_1,Naver,18-24,남성,86744.61141878786,74168.04467708949,956054,26970,0.028209837358429656,2189,0.08117349163990227,47474235.52119767,640.0901591499346,비디오,피드
2025-04-08,campaign_1,캠페인_1,Naver,18-24,남성,22759.99551162692,16936.764800321973,262874,6448,0.024530154958353385,635,0.09858606727631523,9489708.518560417,560.3023145471096,캐러셀,스토리
2025-04-09,campaign_1,캠페인_1,Naver,18-24,남성,67149.11039385345,53322.35725824451,677291,10481,0.01547612744910258,738,0.0704174654621313,22401587.30111614,420.11622240598683,텍스트,피드
2025-04-10,campaign_1,캠페인_1,Naver,18-24,남성,13133.239856835266,9973.761867148152,129212,3611,0.027951132487861935,99,0.027546754341689475,4120611.1276167533,413.14512843838133,캐러셀,스토리
2025-04-11,campaign_1,캠페인_1,Naver,18-24,남성,26931.20341050303,19922.538306874845,343889,10259,0.029834663871249067,898,0.0876141999218361,28692385.214706797,1440.197266670867,텍스트,스토리
2025-04-12,campaign_1,캠페인_1,Naver,18-24,남성,31936.580812322358,26856.636747573983,291280,2676,0.009187813449084637,66,0.025012821412512366,2893047.1665544193,107.72187127324327,이미지,스토리
2025-04-13,campaign_1,캠페인_1,Naver,18-24,남성,75888.90166959635,68315.6825088205,1018747,5727,0.005621727628432089,456,0.0796963649877576,20156396.001809347,295.0478610706536,텍스트,스토리
2025-04-14,campaign_1,캠페인_1,Naver,18-24,남성,11541.783652796648,8221.022845582369,156642,1063,0.006790536816270804,16,0.015799968367368016,770769.7447866328,93.7559424495228,텍스트,피드
2025-04-15,campaign_1,캠페인_1,Naver,18-24,남성,40827.12035311444,30379.884504471986,514470,12062,0.02344607580109724,479,0.03975429551546979,22613743.794087082,744.3656933836694,텍스트,피드
2025-04-16,campaign_1,캠페인_1,Naver,18-24,남성,30055.36747684762,29964.17424952902,320807,2139,0.006668006728705068,161,0.07545468979380729,5315341.322549945,177.38988160614812,캐러셀,검색
2025-04-17,campaign_1,캠페인_1,Naver,18-24,남성,49907.566175069085,38382.582977476064,596316,6998,0.01173668556471138,290,0.041494936142552064,3059395.8764791503,79.70792060228167,이미지,스토리
2025-04-18,campaign_1,캠페인_1,Naver,18-24,남성,23884.60215750338,17497.4646214603,335036,9698,0.0289484919731069,539,0.05563320426976774,9221819.507848023,527.0374712767036,비디오,피드
2025-04-19,campaign_1,캠페인_1,Naver,18-24,남성,52815.01461243661,46273.8295575975,886469,23394,0.02639094476464338,1701,0.07274192617475564,81413062.12966695,1759.375934691796,텍스트,검색
